,Unnamed: 0,id,Name,Age,Gender,Qualification_type,Job_Type,Race,GPA,Interviewed
0,0,1,Jody Tree,29,M,3,Marketing,White,3.7,1
1,1,2,Rowan Adan,59,M,2,Marketing,Latino,1.0,0
2,2,3,Caryl MacCall,56,M,1,Training,Other,4.0,0
3,3,4,Gordy Wornham,51,M,2,Business Development,Black,3.0,0
4,4,5,Abraham Feldfisher,46,M,1,Support,Latino,1.0,1
5,5,6,Padraig Custard,36,MISSING,1,Accounting,Black,3.7,0
6,6,7,Winnie Hove,57,F,4,Research and Development,Black,3.0,1
7,7,8,MISSING,56,M,4,Marketing,Asian,0.7,0
8,8,9,Ashbey Le Merchant,54,M,4,Engineering,Asian,0.7,0
9,9,10,Arley Farragher,44,M,1,Accounting,Asian,0.7,0
10,10,11,Elna Ferrone,39,F,2,Support,Latino,3.3,0
11,11,12,Thom Di Claudio,34,M,2,Support,Latino,3.7,0
12,12,13,Alair Guerreiro,31,M,1,Product Management,Black,1.3,1
13,13,14,Arley Hemms,33,M,1,Engineering,Asian,3.7,1
14,14,15,Lark Livingstone,29,F,5,Support,MISSING,2.3,0
15,15,16,Osbert Mortell,35,M,3,Human Resources,White,1.3,1
16,16,17,Candie Reeveley,47,F,1,Business Development,Other,2.3,1
17,17,18,Griz Ambrose,55,M,2,Product Management,Other,2.3,0
18,18,19,Gretel Seymer,31,MISSING,4,Support,Asian,2.7,0
19,19,20,Gisela Philippault,27,MISSING,1,Support,Other,2.0,1
20,20,21,Sybille MacCambridge,37,F,3,Services,Asian,1.7,0
21,21,22,Dixie Greville,52,F,2,Business Development,Latino,0.0,0
22,22,23,Abbie Charsley,43,M,1,Services,Black,2.0,1
23,23,24,Conrad Coppock.,51,M,4,Legal,Asian,2.7,1
24,24,25,Teriann Fraine,28,F,1,Engineering,Asian,1.7,0
25,25,26,Louise Brewis,40,X,5,Engineering,Black,2.7,0
26,26,27,Jacki Letessier,52,F,5,Sales,Asian,1.3,0
27,27,28,Datha Vondrys,37,F,3,Legal,Black,4.0,0
28,28,29,Melessa Bothram,57,F,5,Services,White,2.7,1
29,29,30,Merilee Kemetz,29,MISSING,3,Business Development,Latino,1.0,0
30,30,31,Lindie Pymm,27,F,2,Support,Latino,1.0,1
31,31,32,Caren Berard,32,F,4,Services,White,2.7,0
32,32,33,Caron Lindenboim,60,F,5,Marketing,White,4.0,1
33,33,34,Boony Carlan,25,M,5,Services,Asian,2.3,0
34,34,35,Calv Dalliwater,57,M,5,Product Management,Other,1.7,1
35,35,36,Erik Bowles,24,M,1,Accounting,White,0.0,1
36,36,37,Ferrell Melin,60,M,5,Business Development,White,1.7,1
37,37,38,Fletch Crebo,59,M,2,Sales,MISSING,3.0,0
38,38,39,Austina Gribbell,42,F,2,Accounting,Black,3.0,0
39,39,40,Benita Scanterbury,39,F,4,Engineering,Asian,3.3,0
